,mbti,comments
6439,ISFJ,그렇군요 제가 카톡 저랬으면 분명 맘 식어가는중이었을텐데 행동이 정 반대라서 더 하게되네여 제가 집착하는것같기도하고
82159,ENTP,저도 자주들어요 친구들은 또라이라고 하죠
10570,INTP,크게 좋아하는 나라는 없는데 막 생각나는 건 독일이 있네요 체계적이고 문화적 평균지식이 높으며 예술 살기 좋은 나고 생각해서요
58245,ISFJ,그냥 제가 너무 많이 바랬나봅니다 다들 즐거운 하루 보내세요
60581,INFP,인프피는 먼저 잘 다지않죠그래도 글쓴님처럼 그런 서운함이 있었음에도 나를 좋아해주는거 알면 미안하기도 하면서 고맙구 기분 넘 좋을 것 같아요 연말추석 핑계 겸 연락해보세요
5262,INFJ,그게 수입이 됐다면 모르지만타인을 위해 굳이 이렇게까지 할 필요가 있을까요 탈퇴까지 하셨으니 잊으시고 마음 편히 사세요 저도 가끔 비구니나 될 걸 싶었던 적이 많습니다
30113,ISFJ,오늘 월급 나왔는데 이걸 어떻게 분배해야할까 이러고 있습니다
8515,INTP,그야 머리로 아는 것과 실제 하는 것은 다르니까요 스트레스 많이 받을것 같은데 받아들여야겠죠
54732,INTP,네 사람 걸러가면서 만나세요
54586,ISTP,여자분이시면 힘들다고 생각해요 환경이
68138,ESFJ,마음이 아프네요 그런데 그게 현실적인 조언이겠지요 감사합니다
31545,ESTJ,반전 매력 귀여움 섹시 이런거요
1254,INFJ,일단 남사친분 많은거에서 좀 꺼려질수도 있어요 저는 남사친 많은분들은 여자로 보기 힘들긴 하더라구요 그분에게만 집중해서 상대해주시면 좋을거 같아요
27665,INFJ,ns가 정말 건너기 힘든 강인듯합니둥
4929,ENTP,근데 다른 여자들한테도 똑같이 그라지 않을까 싶어요 인프제 남자들도 서로 이모티콘 주고 받고 그러나요
53961,ENTP,리액션 장인이시네요 같이 영화보러가서 잇팁남이 감탄해주면 너무 뿌듯할 것 같아요
17109,INFP,차이가 심하게 느껴졌겠는데요 진짜 자기사람한테는 마음을 다해 물심양면으로 쏟아붓는 것 같아요
32245,ISTJ,관심 있으면 사소한거 기억 진짜 잘해요 그리고 정보수집 맞아욬 데이터수집 하는 거에여 원래가 루틴인 인간들이라 상대방도 파악하려고 하는 거에여
59073,INTP,저도 잇팁 인팁이 까보면 크게 다르다고 생각하는 사람인데 외부적인다른 사람들 시선에서 잇팁 인팁을 보면 크게 차이를 못 느끼는 것 같아요
42027,ISTP,착한 사람 코스프레
78530,ISTP,제가 아는 인팁들은 너무 재밌고 신기해요 될수있죠
70273,ENFP,그리고 저런 말들을 티냈다가 아니고 혼자 고민하며 생각해왔던것들을 이해하기 위해 연애 상담글을 올린거일텐데 저도 엔프제님이랑 생각이 같아요
61128,ISFP,저요 사무실 책상도 더러운데 일처리는 깔끔히 약속시간 잘지키고 일도 p처럼 즉흥적으로 해서 빨리 끝냅니다 그래서 바로 회신주면 타인이 볼때 전투적으로 일 잘하는줄 알지만 남에게 피해주기 싫은 성향이라 그렇습니다
5141,ENFJ,연락이나 스킨십이 귀찮아지고 만나는 횟수가 줄어요 같이 있어도 재미없다집가고싶다 라는 생각이 들고요 제 경험상 납득이 안가는 일이 있고 그게 상대방과 타협이 되지 않으면 맘이 떨어지는 것 같아요 보통 엔프제는 좋아하는 상대가 본인을 많이 좋아하는게 보이면 마음이 더 커지는 편인데 그런 상황이 아니시라면 진지하게 대화를 해보심이 좋을 것 같아요
47905,INFJ,안친한데 관심있으면 속으로 의식하죠 겉으론 티안내요
67392,ESFJ,아쉬울게 없을것같아보였어요 혹여나 저녁에 연락올까 왓음좋겟다는 생각에 폰만 붙잡고있네요
47202,ISTJ,제 생각엔 후회한다고까지 말했으면 작성자님 소식이나 눈에 띄는게 싫어서 차단했을거같아요 새로운 인연 찾으시길 바래요
33599,INFP,그렇군요아무래도 저도 느끼지만 st와는 어려운게 느껴집니다 그래도 케바케고 사바사인것같아요 st사람들 중에도 대화가 통하기도 하는게 신기하더라고요 서로 같이 맞춰야 하는점 공감합니다 답변 감사합니다
14751,ISFJ,친해지면 말도 많이 하구요 장난도 잘쳐요
81753,INTP,헐 저거 완전 저에여
19112,ISFJ,귀엽지만 하찮은 이모티콘 좋아합니다
3801,ENFJ,앗 걱정을 덜어드릴 수 있으면 좋겠네여 너무 걱정하진 마셔용
20908,INFP,오옹 언제 가입하셨나요
78540,INTP,아 나 놀림당한건가
51495,ENTJ,앗 사실 3년전까지만해도 enfp였는데 estj 어머니가 계신 저는 그만 변해버렸답니다
12219,ISTP,말 거친건 안좋죠 상대를 위해서 한번 생각하고 말하는 필터링을 항상 장착하고 있어서 저도 배려는 항상 중요한 미덕중 하나라고 생각하네요 저랑 그냥 다른 생각을 가진 사람은 적으로 만들 필요없이 히 거리를 둬야해여
4885,INFJ,왜케 슬프게만 느껴질까요 힘내세요
44835,INFJ,첫날 당일에는 없지만 4일 정도 붙어있어야 했던 출장기간에서는 있습니다
81820,ENTP,그렇게까지 규칙적일 필요는 없는 것 같아요 그냥 일주일에 한 두번의 리프레시 정도의 운동도 충분하다고 생각합니다 무기력과 우울을 털어내는데에 그 정도면 충분해요
33435,ESTJ,제 남편이 인프피인데 말을 해도 왜 그렇게하냐 라고 합니다
11865,ENTP,외유내강 맞아요 딱 더 글로리 문동은도 샹각나고
44445,INFJ,intp
65241,ISTP,전 별로에요 차라리 그돈으로 같이 맛있는거 사먹으러 갔으면 좋겠어요 전 돈과 배경으로 사랑하지 않지만 그사람도 날 그렇게 똑같이 보지 않았으면 좋겠어요 돈은 결혼했을때 받으면 좋겠지만 연애기간이시니 그건좀
39147,ISTP,밀당 절대 안됩니다 잇팁도 밀당 같은거 몰라요 좋으면 좋은거고 싫으면 싫은거지 그걸 재고 어쩌고 안됩니다 그리고 뼛속까지 잇팁인 제 경우로 대입을 해보자면 일상 보고요 대단한 호감입니다 나야나님의 사랑 응원하겠습니다
41472,INFJ,남자도 힘들때 기대고 싶은데 저는 여자친구가 와준다면 너무 좋을거 같아요
61929,ENFP,폰을 공개했다고해서 다 알수는 없는거라아니면 퐁당님이 좀 애매하게 대하고 계신다거나 할지도요
74888,ESFP,상대방이 함을 느끼거나 화났다는걸 말하지않아도 알아채나요 직접적으로 얘길 해야하나요
80517,INTP,아놔 이름 앞에 1은 뭐예요 개웃겨요
54608,ISTP,저도 자동문 제 남친은 철벽인 이런이런
19688,INFJ,항상 술먹고 거의항상 제정신이아닌사람한테 무얼 기대해요 으 너무싫어요
79041,ENTP,서로 숨쉬듯이 자연스러운 관계가 진짜 사랑같아요 얘가 없는 내 일상이 이 잘 되지 않는 것 그리고 전 전자예요
5377,ISFJ,자주 만나주고 운동도 가끔 같이하고 하는데 만나서는 얘기도 잘해주지만 그 마음을 잘 안열긴합니다 그래서 저도 부탁한게 친구만날땐 연락잘안되는거 아는데 집들어가거나 할땐 해달라고 말하기도 했었죠
36190,ENTP,아 집 톤이 넘 예뻐요 사실 p들이 지저분함을견디는 내공이 있긴합니다 하지만 깨끗하게 정돈된집을 원하는건똑같죠다만 누가 정리해준 집 살아보니 저는 귀차니즘에 어질러도되는 공간 딱 내 책상위요렇게 정해놓고 나머지는한번 싹 정리한 후 건드리지않습니다 그러나 신랑 아이들 계속 어지른다면저도 안치워요 어차피 치워도 유지안될거면 효율성차원에서 안치우고 견디는편
61994,ENFP,아 저도그래요 어렸을때부터 번호를 하도바꿔서 아버지가 범죄저지르고다니냐곸 그러신적도있어요 전그냥 인연끊기그사람이내프사보는것도싫고 차단만으로는 그냥하고 그래서 번호를자주바꿨어요 그럼에도 불구하고 남아있는지인들은 인프피잇프제인프피 네요
18378,ENFP,네 히 해주셔도 됩니다 오늘 보낼게 아니고 이번주에 보낼지 다음주에 보낼지 고민중이라서요
15256,ISFJ,그게 낫지 않으실까요 더 잘지내는 모습 보여주는게 저는 낫다고 생각해요
16284,ESFP,챈쮸님은 지금도 그 엣프제 속성 못 잊는거 같은데 어쩌다치명적인 단점이 되어버렸을까요 왕따라도 시켜서 심한짓한건가요 제가 아는 엣프제라면 안그럴거같긴한데 제가 지금 만나는 분도 엣프제인데 단점 한두개땜에 잃으면 후회할거 같아요
25577,ISFP,잇프피가욤
48018,ISFP,호감있어도 안읽씹하는거겠죠
20079,ISTP,123번 진짜 완전 똑같네요 진짜 사랑꾼 같아요
5025,INFJ,돌이켜보니 아차싶었나봐요 타이밍 놓쳤나봐요
48418,INFJ,진짜 정반대 성향이라 끌리는건지 근데 제 상식으로는 이해가 안되는쪽이에요
65536,ESTP,오 엣팁
67750,ISTP,키워야 하나요
71326,INTJ,저는 마음이 복잡할 땐 일기를 많이 쓰는데 나중에 감정 정리가 필요할 때 제3자의 얘기를 듣는 것처럼 처음부터 쭉 읽어내려가 봐요 그러면 어떤 길이 나를 위한 길인지 판단도 서고 감정도 훨씬 빨리 추슬러지더라고요
70967,ISTJ,그럼 현타왔다 힘들다할땐 어떻게해주는게 좋을까요 힘을주고싶은데어려워요
7447,ENFJ,그러니까요 원래 저정도 아니였는데 키스사건이후로 약간 간단명료 짧고 간결하게 답장이 와요
68597,INFP,제 반복된 잘못으로 헤어짐을 고민하던 엣팁남자친구를 붙잡았어요 제 잘못으로 인해 정이 많이 식었다고 하면서 모질고 차갑게 얘기하길래 안 잡힐 줄 알았는데 일단 잡히긴 잡혔어요 그런데 카톡으로는 저한테 예전처럼은 기대하지 말라고 모질게 얘기했는데 막상 만나면 예전이랑 똑같이 상냥하고 다정하게 행동해요 그래서 왜그렇게 모질게 얘기했냐고 물어봤더니 저한테 이만큼의 충격을 안주면 다음에 또 같은 잘못 반복할까봐 그랬다고 하더라구요 정이 정말 식었는데 그냥 제가 붙잡으니까 붙잡힌건지 아니면 정말로 그냥 충격요법을 해줄라고 일부러 정이 식었다고 얘기한건지 뭔 생각인지 잘 모르겠어요
33663,ISTP,아 그냥 하는 거군요 감사합니당
21868,ISFJ,저는 상대방이 여태 잘해줬던 것들 이야기 하면서 이러이러한걸로 다투고 속상하게 해서 미안하다고 했구요 헤어지고 나서 생각 했는데 소중함 뒤늦게 깨닳았다고 헤어지는거 다시 생각해 줄 수 있을까 라고 보냈었고 일주일 지나니 화가 많이 풀려서 그나마 다행이었어요
27680,ISFP,그냥 서로 편하게 했으면 좋겠어요 잠깐 딴 거 하고 있을 때는 그거 하다가 답장해도 되고 그러다가 서로 타이밍이 맞을 때 같이 주고받으면 되는거니까 의식하지 않고 편하게 하는 걸 선호해요 안오면 바쁜가보다 하고
58149,INFJ,맞아요그 사이에 제가 실수한게 있었거든요
38004,ISTP,보여지는것님은 mbti가 어떻게 되시나여 nt가 껴져있으면 섣부를수도 있지만 인스타그램st에 자존감이 다들 높은가봐여
70849,ISTJ,무제님 나이가 어떻게 되시는지 모르겠지만 남자는 30대부턴 에너지가 20대보다 많이 떨어져서감정적으로 피곤하다 느껴지면 20대처럼 이어가려고 하질않더라고요 이전 카톡들 보고 말씀드려요
68770,ISFP,넹 근데 그렇다기엔 였어요 내년에 전남친 복학하면 같은 학교에 같은 학과 학년이라도 다른 거에 감사해야 하는 건지 하지만 이건 먼 미래고 지금 잘 이겨내볼게요 감사합니다
30146,ISFP,저는 다정한 사람 배려잘하고 예의바른 사람 티키타카 잘되는 사람 말 이쁘게 하는 사람이요
54214,ISTP,앗 이정도면 많이 하는편인가요 저 보다 연락이 적은상황은 처음이라
65206,ISTP,일반적인 istp가 아닐수도있으니까요 저는 빈말을 못하는 타입이라 아니라고 생각하면 답을 못하는데 고도로 학습된 케이스이실수도 있습니다 그럼 근데 예뻐서라고 말을 했어야했는데
48557,INFJ,소유욕 화신이라고 보시면 되요 다른 남자랑 친한 느낌을 받으면 그냥 포기한다고 할까요 놔버려요
75094,INTJ,그냥 인간으로써 시간을 낼 가치가 있는 관심이 가는 사람 정도
22550,ENFP,9번들이 그러죠
37909,ESFP,감사합니다 오늘 고백해야겠어요
3101,INFJ,하악 기대하면 안되는걸알면서도 심장이 나대네요 답변감사합니당
64774,ISTP,이런거 알아주는게 진짜 찐인뎁 물론 누가 좋아한다고 해서 억지로 사겨줄 이유는 없지만욥
40704,ISTP,좋을때죵 저희 커플 초반기같군영
35636,ENTP,안좋아할 생각은 쥐똥만큼도 없고 그냥 계속 좋아할거라고 통보한거죠 정말 잇티제의 짝사랑이 끝나길 잇티제에겐 미안하지만 빌어봅니다
24052,INFJ,곰인 것 같죠
69391,INTP,오 저도 좀 비슷해요 엄청 힘들고 비참하다가 이상황을 어떻게 벗어나지 생각하다 갑자기 몰입해서 상황 해결하는걸 즐기는거 같아요 그리고 늘 계획대로 안됐을 때 더 좋은결과가 나오는 것도 많구요
36926,ISTJ,엣팁입니다
31091,ISTP,경제공부할래요
62211,ISTJ,후웅 조으신 분 본받고 가봅니다 화이팅이에용
26813,INFP,아니요 헤어졌고 지금은 다른 사람 만나고 있는데 이제야 제대로된 연애하는 것 같고 좋아요 놀랍게도 같은 isfp인데 다른 남친이에요
74264,INTJ,어디 지병있는거아닌이상 기억안날수없는 행동으로 판단됩니다
68493,ISTP,회피 하는겁니다 마음에 안들면 할수있더라고 포기 하고 회피하고 문제점을 해결할 생각을 하지않고 멀어지는거죠 연인 관계에서도 건강할때는 회피하지않고 문제점을 찾으려 노력한다면 불건강할때는 조용히 있다가 잠수 타버리죠
27803,ISFP,앗 혹시 카톡 오픈채팅 되실까요 댓글로는 쓰기 좀 그래서요
46539,ISTP,예전부터 잇팁관련글 올리셨어서 기억이 나는데 제 기준 나쁜 사람의 표본이더라구요 당신을 사랑해줄수 있는 남자를 만나셨으면 좋겠습니다
11896,INTP,평소에는 잘 맞는데 단점으로 너무 예민하고 제 생각엔 별 것도 아닌 일에 혼자 너무 스트레스 받고 성질냄 그리고 자기 의도랑 다른 얘기한다고 성질내고 좋은 때는 잘 맞는데 저는 두번 경험하고 싶지 않아요
9456,ENTP,인성 성격이 좋은 느낌의 말 잘 듣는 그런 건 괜찮은데 순종의 느낌이 들어간 뉘앙스면 별로네요
66813,ESTP,아무사이도 아닌데 그런거면 병인데
19152,ISFJ,그쵸 풀려고 내뱉은 말이 풀려고 한건지 모를것 같아요 제가 그렇습니당 아예 풀려고 한말인건지 뭔지 자체를 잘 모를 수도 있을 것 같아요
13923,ENTP,그렇군요 감사합니다
32182,ISTJ,의미있습니다 사진 아무한테나 안보내요
60676,ENTP,저도 엔팁이라그럼 다들 e 아닌것 같다고 의아요
78606,ENFP,인팁남자가 이기적이지만 조금만 더 기다려주면 안되냐는 식으로 말해줄 수는 없을까 했던 마음이죠 좋아한다면서 손을 그냥 놓아버리니까요 그리고 첫소개팅부터 인팁 남자가 결혼전제 만남하고 싶다고 졸업까지 계속 기다려달라고 3년을 그렇게 만났는데 제가 이정도 힘든 것도 내비치면 안 되는건가요
78647,INTP,진짜 솔직히 대답하면 수업 열심히 듣고 있는 내 시야 안에서 퍼질러 자고 있는 모습이 보이면 쟨 미래생각은 하고 있는걸까 혹은 걱정없이 사는구나 라고 생각해요
8627,ENTP,인성의 문제인듯 보이네요
76591,INTP,고생했고 오늘은 푹 자라고 해주면서 내일 아침에 출근길에 사먹으라고 동선 안에 있는 커피숍 기프티콘 보내주기 이정도만 해줘도 전 좋을 거 같네요
28837,ISFP,원래 페이스로 돌아왔다는게 정확해보이네요 제 기준에선 많은 질문이 힘들어요 거기에 대고 답장과 질문을 더 해달라고 강요하면 그건 그거대로 또 싫구요 그래서 전 보통 말 많은사람들 좋아해요 들어주면서 리액션 해주는게 편하거든요
72640,INTJ,지친것과 미련과 후회가 느껴져요
3775,ESFJ,인스타는 원래 맞팔이 되어있었는데 남성분이 먼저 디엠으로 연락오셔서 하다가 갠톡하게 되었어요 매일 선톡하셔서 어제 못참고 물어봤네요 혹시 제가 오해하는건지 호감 호의 중에서 어떤 거냐는 식으로 떠봤는데 오해 아니라고 하면서 그 이후로도 선톡해주시더라구요 너무 자상하게 대해줘서 남친같아요
15268,ISFJ,전 아무리 배려적인 행동이래도 위와 같은 사항들을 오해할까봐서라도 적극적으로 누구한티 특정적으로 하진않고솔직히 호감있는 사람외에 딴사람들이 뭘하든 관심도가 낮아서 집단속의 한사람이 호감이래도 뒷말 나오는거 싫어서 누구나한테 다 잘해주고 배려해주기도 합니다 근데 선톡은아무리 친한친구래도 그렇게 자주하진 않기 때문엥아직 어떠한 상태라고 판단하기엔 좀 그시기하네유 그치만 저는 글쓴이분에게 충분히 관심그이상은 있을거 같아요 우선은 추측하기 보다는 11 만남 유도를 해보세요
75619,ENTP,전 대부분의 인팁은 외적으로 매력적인 사람이 좀 많았고 내적으로도 매력적이던데 제 관심사에 대해서 더 깊게 알더라고요 관심사 차이 아닐까요
13803,ENFJ,로를 너무 낮춰보시는것 같아요 불쌍한 내자신을 돌보지 않으시네요 로 자초한 일이다 라고 생각해보시면 정리가 쉬우쉴것 같아요 내가 나를 아껴줘야지 어디서 그런놈한테 라고 생각해보세요 철저히 혼자가 되더라도 내 자신이 아까워야죠
42380,INFJ,저도 비슷한 생각한적 있어요 저는 조심해야할 상황 아니면 둘러 말하지 않고 직설적이고 솔직한 편이고 감정 잘 못숨겨서 다 드러나요 근데 속을 알 수 없는 면도 았는 것 같은게 다른 사람한테 표현하거나 얘기해야할걸 안하거나 숨기려고 작정하면 잘 숨겨서 그런 면도 있는 것 같아요
35335,ESTP,제 주변 저 포함한 엣팁은 저처럼 연락을 기다리는 경우가 많더라고요 나중에 이 연락도 포기하게 되면 그때는 마음을 놓는 수간이 될 것 같아요 이분은 주변사람이 본인 핸드폰을 보는거를 싫어한다고 했어요 그러다보니 누구랑 같이 있을때면 핸드폰을 거의 안본다고 여기서 제가 직구로 너는 나한테 관심이 있는건 맞는지 물어본다면 엣티제 입장에서는 어떨까요
44530,INFJ,넵 엄청 신경 쓰죠
75168,ENTJ,잘맞는 엔티제가 한명도 없었습니다 잘맞는척 해도 서로 동족 경계하는거 다 보여서
68041,ISTP,리얼x1 공감입니다
19643,ENTJ,풀리길 원해서 잘해주고 얘기한다고 해서 편안하게 풀리는게 사람마음이 아닌것 같습니다 특히 isfj 는 풀리는데 시간이 꽤 필요한 타입인지라 그냥 본인 인생 집중하시고 isfj가 로 나올때까지 기다리시는게 맞지 않나 생각듭니다 물론 기다리는동안 이런저런 사소한거 챙겨주시는건 나쁘지않아보여요
78005,ENTP,대공감 합니다그래서 이 불편함을 내뱉었을때 안맞는 사람들은 너는 왜 불만이 많니라고 하는데 잘맞는 사람들은 이게 불편하니 이걸 고치면 어떨까 생각하는 저를 좋게 봐주고 같이 해결하려고 하는 차이가 있는것 같아요
62671,ENTJ,통상 결핍 트라우마 있는 사람이 그러는 경우가 많다는걸 오래전 대학시절 심리학 강의때 들었던 기억은 있어요 그러나 그렇다고 불륜이 정당화되는건 아니죠 마음고생 많으실텐데 그냥 잊어주세요 혹여나 자기가 어리석었다며 돌아오더라도 받아주지 마세요 아래 답글 달아주신걸 보니 전남친들도 죄다 쓰레기라 더 잘해주려 애쓰셨다고 하셨는데 전여친도 이걸 알거예요 그래서 아마 정신차리고 나면 돌아오겠다고 할수 있겠다는 생각이 드는데 놉 바람 불륜도 습관이라서 한번 한 사람이 또 하더라구요
15773,ISTJ,음 상황 이해했어요 잘 안 맞으셔서 힘드시겠어요 사실 부모님을 바꾸는 건 거의 불가능하다고 생각해서요 심리학 책 독서나 공부를 하면서 관계를 맞춰나가는 방법도 있겠지만 쉽지 않을 것 같아요 저는 가족이더라도 안 맞는 사람은 맞춰가지 않는다라는 주의라 혼자 사니까 행복해용
67772,ENFP,오옹 책읽는걸 좋아하는 것만으로도 관심이 같은게 될까요 웹소설을 책으로 생각 안하실까봐 쉽게 얘길 못꺼내겠어요
67025,ENFP,엇 찐 잇팁이시더라도 그러시군요 아하 답변 감사합니다
4008,INFJ,인프제가 원래 좀 복잡하고 특히 감정적으로 막 정리가 안 되고 그렇긴 하거든요 생각이 지인짜 많아요 그리고 전남친 얘기는 그냥 아무 생각없이진짜 정말 아무 생각 없이 자기는 그냥 그렇게 생각하니까 꺼낸 것 같긴 한데 그건 인프제 사정이고 기분이 나쁜건 나쁜거죠 저라면 얘기할 것 같아요 사귄지 16일밖에 안 됐는데 뭐 하는 짓이냐고
67080,ESFJ,쉬고싶어서 그런거였으면 좋겠네요 남자친구가 요즘 일이랑 집안일로 힘든상황이긴하거든요
40576,INFJ,높은 텐션에 기빨리는 느낌 뭔지 알 것 같아요 저도 너무 와하는 사람이면 엄청 기빨려요 집와서 방전된 상태로 이게맞나싶고
32984,INFJ,답장했습니다
27888,ISFJ,사실 자존감이 그리 높은 사람이 아니기도 해요 그럴때일수록 칭찬을 더 많이 해줘야겠어오 댓글 감사해요
72526,INTJ,뭐가 문제죠
21499,ISFP,잇프피 남친 두고있는데 울화통 터집니다 이별 생각도 하고있어요
37017,ESTP,반짝 친구들 그래서 요새는 친한 친구들 위주로 만나고 있어요
17146,ESFJ,여자분에게 누군가 있을 가능성은요 전 남자친구에게 연락이 왔다던지
52803,INTJ,감사요 추가 질문인데 잇프제가 로 먼저 자신의 단점을 잘 말하지는 않죠 단점이나 싫어하는거 그런거는 친해져야 얘기하는 스타일이죠 싫어하는거 먼저 말했다가 상대방이 난 그거 좋아하는데 라고 하면 당황하실까요 질문이 많아 죄송하지만 잇프제분들의 속마음 알 기회가 별로 없어서요
7915,INTP,안믿어요
74231,ENTJ,저는 심각한데 왜 웃으세요
75341,INTJ,주로 무슨 얘기하시나요
60543,INFP,인프피가 평소엔 스킨쉽하는 거에 부끄러워하는 편이지만 과감하게 손을 잡거나 기대는 행동을 한다는건 이성적인 호감을 갖고 있다고 할 수 있어요 사랑스러운 이성친구를 두셨네용
9491,INFJ,저도 서울경기권입니다
61897,ISTJ,아니라고 하시는분들 있겠지만 인프피 엔프피분들 대부분 저렇더라구요 그리고 다들 하시는 말이 본인이 깨달아야하고 똑같은 사람 만나서 거울 치료 당하거나 인간관계 다 망쳐봐야 조금이나마 깨닫는다고 하더라구요 본인의 문제를 아는것만으로 긍정적인 것 같아요 본인이 문제라고 생각되는 부분에 대해서 많이 찾아보고 공부해보세요
33348,ENFJ,남친 엣티젠데 아직 저런 말투 못 들어봤어요
67571,ESTJ,대놓고 물어보면 인스타활동중뜨는거 앞으로 신경쓰여할까봐 못물어보겠어요 그냥 별일없다니깐 넘어가야죠 약간 이럴때마다 잇팁이 무슨일있는건지 걱정되고 그래서 의 나라 펼치게 되네요
5756,INTP,다시 생각해봤는데 예쁜 얼굴한 성격이면 그렇게 볼 수 있겠다 싶어요 예쁜 얼굴에 활발한 성격이면 다들 친하게 지내는 모습 많이 봤거든요 특히 예쁜얼굴infjinfp같은 성격이면 더 그럴 것 같아요
61584,ENFJ,오 맞아여 제가 기분 안좋아도 참을만해서 참으면 제 눈치보다가 제 기분에 대해서 혼자 생각하더니 어느순간 본인이 더 기분 안좋아져있더라고요 이 과정이 몇번 반복되면 어느순간 혼자 식어있어요 사랑한다고 연애초부터 쉽게 말하면서 한순간에 혼자 식어버리먄 제 입장에서는 금사빠금사식이 맞져
80069,INTP,그래서 일할 때 안 맞는 거 같아요 쓸데 없는 걱정이라는 생각이 들어서요
57032,INFJ,집 도착했어 물어보고 도착했대서 왤케 오래걸렸어 물어봤어요 그리고 이런 상황에선 내 감정이 이렇다 그러니 이렇게 해주는 게 난 더 좋다 이런 식으로 얘기는 충분히 여러번 했는데 남친은 저랑 달라서 제 감정을 이해를 못해서 그런지 인지를 아직 못하는 거는 맞는 거 같아요
63955,ENFP,저는 딱히 없는거같아요 지금 좋아하는분은 infp에요 전 mbti는 딱히 안보는거 같습니다
26703,INTP,괜찮아요 딱 좋아요 수쥽한 모습도 괜찮아요
